Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA0;<437, 5, 200>;False;-11;101;0;9350
EA1;<437, 5, 200>;False;-4;22;15;9900
EA2;<437, 5, 200>;False;-11;99;0;9350
EA3;<437, 5, 200>;False;-11;100;0;9350
EA4;<437, 5, 200>;False;-11;99;0;9350
EA5;<437, 5, 200>;False;-11;99;0;9350
EA6;<437, 5, 200>;False;-11;100;0;9350
EA7;<437, 5, 200>;False;-5;30;15;9350
EA8;<437, 5, 200>;False;-11;100;0;9350
EA9;<437, 5, 200>;False;-11;99;0;9350
EA10;<437, 5, 200>;False;-11;99;0;9350
EA11;<437, 5, 200>;False;-13;67;55;9350
EA12;<437, 5, 200>;False;-7;17;50;9350
EA13;<437, 5, 200>;False;-11;100;0;9350
EA14;<437, 5, 200>;False;-11;99;0;9350
EA15;<437, 5, 200>;False;-9;39;50;9350
EA16;<437, 5, 200>;False;-11;100;0;9350
EA17;<437, 5, 200>;False;-11;99;0;9350
EA18;<437, 5, 200>;False;-13;42;105;11000
EA19;<437, 5, 200>;False;-7;33;35;9900
EA20;<437, 5, 200>;False;-6;41;15;9900
EA21;<437, 5, 200>;False;-11;101;0;9900
EA22;<437, 5, 200>;False;-8;57;20;9350
EA23;<437, 5, 200>;False;-10;98;0;9350
EA24;<437, 5, 200>;False;-11;101;0;9350
EA25;<437, 5, 200>;False;-11;100;0;9350
EA26;<437, 5, 200>;False;-11;101;0;9900
EA27;<437, 5, 200>;False;-9;62;20;9900
EA28;<437, 5, 200>;False;-11;99;0;9350
EA29;<437, 5, 200>;False;-5;23;20;8250
EA30;<437, 5, 200>;False;-10;78;20;9350
EA31;<437, 5, 200>;False;-9;53;20;8250
EA32;<437, 5, 200>;False;-22;77;125;9350
EA33;<437, 5, 200>;False;-11;100;0;9350
EA34;<437, 5, 200>;False;-11;101;0;9350
EA35;<437, 5, 200>;False;-11;99;0;9350
EA36;<437, 5, 200>;False;-3;1;30;9900
EA37;<437, 5, 200>;False;-3;15;15;9350
EA38;<437, 5, 200>;False;-6;39;15;8800
EA39;<437, 5, 200>;False;-10;97;0;9350
EA40;<437, 5, 200>;False;-11;101;0;9350
EA41;<437, 5, 200>;False;-11;100;0;9350
EA42;<437, 5, 200>;False;-5;33;15;9350
EA43;<437, 5, 200>;True;382;69;320;7100
EA44;<437, 5, 200>;False;-11;99;0;9350
EA45;<437, 5, 200>;False;-11;81;20;9350
EA46;<437, 5, 200>;False;-6;41;20;9350
EA47;<437, 5, 200>;False;-11;100;0;9350
EA48;<437, 5, 200>;False;-5;32;20;9900
EA49;<437, 5, 200>;False;-11;100;0;9350
EA50;<437, 5, 200>;False;-11;100;0;9900
EA51;<437, 5, 200>;False;-7;47;20;9900
EA52;<437, 5, 200>;True;500;125;385;10559
EA53;<437, 5, 200>;False;-11;99;0;9350
EA54;<437, 5, 200>;False;-11;99;0;9350
EA55;<437, 5, 200>;False;-11;101;0;9900
EA56;<437, 5, 200>;False;-11;99;0;9350
EA57;<437, 5, 200>;False;-11;99;0;9350
EA58;<437, 5, 200>;False;-4;28;15;9350
EA59;<437, 5, 200>;False;-9;63;20;9350
EA60;<437, 5, 200>;False;-11;101;0;9900
EA61;<437, 5, 200>;False;-21;92;105;9350
EA62;<437, 5, 200>;False;-6;1;60;9350
EA63;<437, 5, 200>;False;-11;99;0;9350
