Name;Coord;Winner;Fitness;Score;GameTime;ConquerRadius;AttackMinLife;SupportRadius;SupportMaxCap;SupportMinCap;SupportTownRatio
EA193;<3468, 5, 958>;True;475;475;849;1620;14;571;85;98;54
EA185;<3468, 5, 958>;False;10;10;646;949;45;2564;97;51;46
EA172;<3468, 5, 958>;False;-5;-5;715;1667;93;2920;12;57;31
EA163;<3468, 5, 958>;True;140;140;841;3335;23;2890;23;42;19
EA149;<3468, 5, 958>;False;0;0;774;3135;83;201;68;61;61
EA153;<3468, 5, 958>;False;0;0;680;437;92;216;27;64;14
EA150;<3468, 5, 958>;False;-5;-5;665;2518;93;3443;66;85;84
EA130;<3468, 5, 958>;False;25;25;653;1054;41;318;74;18;73
EA129;<3468, 5, 958>;True;220;220;494;1848;9;2007;19;31;80
EA122;<3468, 5, 958>;False;-5;-5;656;3401;32;3771;25;58;26
EA114;<3468, 5, 958>;False;-5;-5;682;1808;89;3061;65;69;86
EA80;<3468, 5, 958>;False;-5;-5;591;1950;30;2008;33;30;30
EA75;<3468, 5, 958>;False;0;0;849;425;61;3547;16;84;48
EA67;<3468, 5, 958>;True;140;140;887;3357;32;2699;29;25;76
EA70;<3468, 5, 958>;False;25;25;578;2753;8;2448;36;41;6
EA51;<3468, 5, 958>;False;-5;-5;716;148;61;1377;8;98;93
EA39;<3468, 5, 958>;False;0;0;872;2307;82;3000;55;81;51
EA33;<3468, 5, 958>;False;-5;-5;549;3845;23;2100;20;49;5
EA4;<3468, 5, 958>;True;180;180;588;3477;7;1452;52;63;42
EA178;<3468, 5, 958>;False;0;0;684;679;93;3777;82;62;70
EA117;<3468, 5, 958>;False;-5;-5;632;3950;46;939;18;38;61
EA102;<3468, 5, 958>;False;-5;-5;674;492;85;1537;41;77;41
EA95;<3468, 5, 958>;False;-5;-5;703;1889;77;1715;57;46;63
EA66;<3468, 5, 958>;False;0;0;833;2069;83;1285;54;54;56
EA57;<3468, 5, 958>;False;10;10;614;3248;41;1250;31;31;89
