Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
EA198;<3468, 5, 958>;True;360;1239;460;-110;10;9.47;1715;13;1458;98;33;3278;21;1855;94;79;2640;85;2316;78;62;94;76;72;531
EA189;<3468, 5, 958>;False;1;770;0;0;1;50;650;11;368;60;19;580;47;952;20;70;2705;50;977;91;49;82;52;32;2470
EA185;<3468, 5, 958>;False;1;772;0;0;1;50;306;27;3673;72;9;2682;78;742;17;27;1077;85;3790;86;28;72;66;98;3902
EA180;<3468, 5, 958>;False;1;686;0;0;1;50;1306;61;1125;53;48;201;53;3010;41;71;3714;38;1258;13;80;92;96;59;3078
EA170;<3468, 5, 958>;False;1;670;0;0;1;50;2555;86;1221;75;51;296;81;663;73;17;2429;39;3884;47;43;21;68;84;297
EA69;<3468, 5, 958>;False;1;650;0;0;1;50;1863;57;3195;44;54;431;89;1285;85;17;3676;34;2048;94;81;11;74;93;2915
EA46;<3468, 5, 958>;False;1;723;0;0;1;50;1177;64;106;76;16;3910;11;534;45;70;2329;79;3141;78;45;76;17;90;3409
EA38;<3468, 5, 958>;False;1;717;0;0;1;50;1722;43;3882;38;13;3351;27;295;83;46;3336;51;3642;41;29;52;41;77;3850
EA33;<3468, 5, 958>;False;1;724;0;0;1;50;3439;91;2080;71;33;1316;62;3641;68;79;2838;30;304;43;56;63;88;53;623
EA27;<3468, 5, 958>;False;1;916;0;0;1;50;2462;12;1647;18;47;2133;27;2596;74;59;561;27;907;15;23;16;52;27;1622
EA29;<3468, 5, 958>;False;1;897;0;0;1;50;1744;82;3865;86;5;1920;15;3086;62;58;2476;85;690;6;85;40;46;54;2769
EA3;<3468, 5, 958>;False;1;833;0;0;1;50;2634;97;401;13;28;1388;72;2941;17;63;540;39;1983;87;36;24;68;7;3362
EA12;<3468, 5, 958>;False;1;701;0;0;1;50;1304;58;918;5;38;3296;90;1062;25;40;1687;72;235;46;84;24;8;84;2220
EA8;<3468, 5, 958>;False;1;682;0;0;1;50;1788;30;2395;51;41;484;54;1343;15;10;3195;79;3604;94;38;72;63;25;2505
EA14;<3468, 5, 958>;False;1;652;0;0;1;50;2534;94;2286;41;89;2968;74;1211;27;55;1448;82;3088;76;31;58;65;46;3187
EA159;<3468, 5, 958>;False;1;751;0;0;1;50;1171;67;2173;69;89;613;66;3053;90;50;3729;25;2753;71;37;89;15;48;1195
EA149;<3468, 5, 958>;False;1;649;0;0;1;50;1531;83;1415;67;89;2371;82;250;8;30;3543;22;1981;6;98;88;9;78;393
EA145;<3468, 5, 958>;False;1;792;0;0;1;50;3462;41;1392;33;53;3525;65;3505;37;36;2010;54;3769;69;43;85;84;40;3406
EA146;<3468, 5, 958>;False;1;631;0;0;1;50;1222;94;161;68;22;1463;83;2509;34;89;292;56;2494;18;29;53;27;55;1769
EA137;<3468, 5, 958>;False;1;772;0;0;1;50;1587;30;1669;80;94;2349;97;347;49;33;1741;77;3263;14;5;43;27;89;2960
EA140;<3468, 5, 958>;False;21;666;40;-20;1;50;391;62;2483;68;45;2608;52;313;92;72;2838;81;1494;14;98;27;7;98;1395
EA133;<3468, 5, 958>;False;1;654;0;0;1;50;754;86;2353;64;57;2097;86;2080;5;39;332;91;2615;12;19;57;66;2;690
EA108;<3468, 5, 958>;False;1;796;0;0;1;50;1827;65;2648;90;28;1414;96;2130;53;48;2480;13;3776;49;23;28;44;10;2452
EA105;<3468, 5, 958>;False;1;663;0;0;1;50;2771;38;1054;93;36;3308;56;3055;16;9;163;22;2617;21;91;6;76;78;3271
EA101;<3468, 5, 958>;False;1;633;0;0;1;50;1567;38;2738;30;97;1649;79;2127;31;78;3935;53;1616;32;55;75;95;63;2537
EA59;<3468, 5, 958>;False;1;692;0;0;1;50;184;52;1461;53;53;1878;64;446;83;16;3801;16;2202;83;73;76;26;18;2440
EA57;<3468, 5, 958>;False;121;738;160;-40;1;50;226;99;192;76;87;3760;44;336;35;58;3651;90;2356;55;20;43;25;2;3494
EA47;<3468, 5, 958>;False;1;676;0;0;1;50;1503;78;1057;88;80;1966;77;575;32;93;2647;94;1087;49;10;69;25;50;166
EA44;<3468, 5, 958>;False;91;891;140;-50;1;50;1438;66;3659;91;53;1501;28;3860;22;18;1938;68;2394;75;33;57;19;26;245
EA45;<3468, 5, 958>;False;1;723;0;0;1;50;1773;7;306;73;57;3227;9;3561;23;51;1205;79;2313;82;93;13;26;69;1670
EA37;<3468, 5, 958>;False;91;773;160;-70;1;50;1639;67;278;71;22;2084;41;1732;67;80;192;41;2099;39;47;88;18;13;1403
EA26;<3468, 5, 958>;False;1;662;0;0;1;50;3993;72;3483;98;51;2672;60;249;73;85;788;77;3253;40;41;12;39;41;1157
EA22;<3468, 5, 958>;False;1;695;0;0;1;50;3249;9;3460;83;38;1180;9;1629;95;35;3866;85;2578;31;23;39;54;52;2452
EA18;<3468, 5, 958>;False;1;699;0;0;1;50;1998;27;3438;14;64;420;91;2336;63;41;1221;17;2402;44;31;39;50;85;1984
EA11;<3468, 5, 958>;False;1;794;0;0;1;50;1847;55;3928;22;66;3996;52;524;9;85;1240;89;803;65;68;23;43;57;1294
EA4;<3468, 5, 958>;False;1;809;0;0;1;50;2150;70;2225;40;89;3897;89;1687;35;91;3766;79;3793;81;85;96;59;46;2420
EA7;<3468, 5, 958>;False;1;682;0;0;1;50;3724;17;1391;81;8;3874;57;417;5;88;1807;93;1590;31;22;82;69;11;3556
EA1;<3468, 5, 958>;False;1;694;0;0;1;50;1416;97;2947;58;99;1234;95;2595;69;93;3796;97;3392;15;61;56;23;7;3850
EA0;<3468, 5, 958>;False;181;673;220;-40;1;50;3479;22;2623;55;35;2090;5;1128;9;72;209;48;2851;67;46;16;21;19;679
EA142;<3468, 5, 958>;False;1;701;0;0;1;50;2945;37;1560;93;91;2996;42;3326;94;49;1774;76;805;94;85;32;29;35;3805
EA141;<3468, 5, 958>;False;1;706;0;0;1;50;163;66;421;67;33;262;46;1214;81;64;915;74;1443;85;21;6;4;25;2278
EA132;<3468, 5, 958>;False;1;654;0;0;1;50;498;35;278;58;11;2797;8;1652;45;88;2658;33;2695;51;64;78;79;94;1872
EA128;<3468, 5, 958>;False;1;633;0;0;1;50;1926;5;355;44;96;2676;49;3228;89;81;190;37;639;26;72;30;24;72;1885
EA125;<3468, 5, 958>;False;1;683;0;0;1;50;2123;29;2039;52;21;3716;19;136;39;91;582;56;3370;61;84;23;34;91;3596
EA120;<3468, 5, 958>;False;1;773;0;0;1;50;1420;10;2076;78;73;2007;34;356;21;5;3027;31;496;33;38;32;34;56;2615
EA112;<3468, 5, 958>;False;1;802;0;0;1;50;1059;33;2755;77;44;2789;95;2177;99;84;571;56;1706;80;17;58;68;10;2575
EA107;<3468, 5, 958>;False;81;714;120;-40;1;50;1795;82;2915;65;81;2880;25;3987;99;14;2076;39;2332;71;42;7;7;86;2012
EA106;<3468, 5, 958>;False;1;622;0;0;1;50;705;55;761;89;81;395;96;1482;38;44;2733;34;671;70;8;29;68;16;2151
EA99;<3468, 5, 958>;False;1;681;0;0;1;50;3048;15;1513;62;89;3478;89;1534;5;86;1566;7;569;47;63;19;77;22;2849
EA98;<3468, 5, 958>;False;41;670;40;0;1;50;2597;40;1152;56;48;2660;56;1105;56;64;1316;79;2436;40;31;48;67;1;2849
EA70;<3468, 5, 958>;True;148;345;100;0;48;1.95;2550;72;867;8;90;2002;6;1277;69;93;3282;70;3981;85;42;76;37;1;3200
EA54;<3468, 5, 958>;False;1;683;0;0;1;50;1566;59;1909;62;11;2153;20;962;80;23;1923;93;2764;25;36;32;16;21;1539
EA51;<3468, 5, 958>;False;1;676;0;0;1;50;976;49;1675;29;24;543;25;931;12;71;474;53;2260;32;88;68;3;58;2715
EA42;<3468, 5, 958>;False;1;857;0;0;1;50;3902;70;2529;8;24;3749;37;2300;41;50;616;21;1304;54;22;76;51;60;3714
