Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;supportActions;attackActions;dominanceLevel;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
KI_0;<3468, 5, 958>;False;111;1089;1;110;0;50;0;22;1;3035;8;2212;71;82;2294;18;345;61;33;1343;59;267;19;9;54;78;98;394
KI_1;<3468, 5, 958>;True;55.156075808249724;762;9.1304347826086953;30;16.025641025641029;6.14;0;46;1;3432;56;2794;39;58;2895;9;1360;10;71;495;73;2030;49;42;88;50;10;903
KI_2;<3468, 5, 958>;True;107.73708920187794;429;16;80;11.737089201877934;8.42;0;10;1;3445;67;3024;27;53;3142;26;3017;95;46;2312;20;2601;89;50;77;16;98;179
KI_3;<3468, 5, 958>;False;101;908;1;100;0;50;0;14;1;2113;16;2255;86;76;3117;19;1525;26;80;3762;23;1390;57;78;46;22;62;1072
KI_4;<3468, 5, 958>;True;141.16003943476832;527;5.2941176470588234;80;55.865921787709496;1.69;0;34;1;364;78;3069;18;13;3394;6;2963;7;94;685;77;286;90;79;94;15;1;3601
KI_5;<3468, 5, 958>;True;110.68853347790729;624;7.6470588235294121;80;23.041474654377883;4.24;0;34;1;198;12;386;60;79;2568;10;2309;17;57;2080;24;3347;34;61;88;78;2;1182
KI_6;<3468, 5, 958>;True;103.44121215541323;642;6.2295081967213113;80;17.211703958691913;5.71;0;61;1;3542;24;281;55;95;1749;5;1798;45;55;2879;54;2727;71;16;77;1;11;3105
KI_7;<3468, 5, 958>;True;106.23655913978494;726;13.333333333333334;80;12.903225806451612;7.65;0;18;1;702;35;1693;68;69;3505;23;928;92;94;3624;21;3226;80;94;75;3;74;688
KI_8;<3468, 5, 958>;True;115.2267354395014;689;15.555555555555555;90;9.6711798839458414;10.24;0;9;1;3011;48;425;81;59;3545;37;2492;46;92;1906;80;3751;26;79;69;30;12;1042
KI_9;<3468, 5, 958>;True;107.14680006900122;507;6.4516129032258061;90;10.695187165775401;9.25;0;31;1;788;16;531;97;15;3716;5;160;89;12;2666;84;1612;80;61;86;35;7;476
KI_10;<3468, 5, 958>;False;1;836;1;0;0;50;0;0;2;1695;97;2541;72;16;3114;55;3304;5;85;759;93;2646;54;67;19;18;42;842
KI_11;<3468, 5, 958>;False;1;694;1;0;0;50;0;0;2;2687;61;715;55;40;1196;65;3432;32;39;453;66;2633;67;38;53;49;22;1188
KI_12;<3468, 5, 958>;False;41;691;1;40;0;50;0;4;2;2374;28;1389;80;29;3296;47;1112;39;21;2483;66;576;41;65;68;18;52;1125
KI_13;<3468, 5, 958>;False;1;690;1;0;0;50;0;0;2;2327;95;2481;31;77;1318;75;2277;21;92;919;97;2107;28;15;67;21;7;2802
KI_14;<3468, 5, 958>;False;1;668;1;0;0;50;0;0;2;833;81;3719;99;54;2557;27;2430;84;56;2307;10;2737;32;85;23;27;37;2975
KI_15;<3468, 5, 958>;False;31;700;1;30;0;50;0;6;2;3293;38;1517;24;30;1914;35;2633;80;81;3359;6;305;18;81;15;80;32;629
KI_16;<3468, 5, 958>;False;1;780;1;0;0;50;0;0;2;2542;99;1701;20;9;1683;52;1627;66;59;3221;5;3885;27;41;74;60;47;1308
KI_17;<3468, 5, 958>;False;1;683;1;0;0;50;0;0;2;2745;89;253;61;68;2896;18;967;5;75;3164;47;3061;94;25;7;14;57;2473
KI_18;<3468, 5, 958>;False;41;736;1;40;0;50;0;8;2;931;74;3494;98;98;2841;9;1982;38;17;1352;73;3019;50;36;41;56;93;676
KI_19;<3468, 5, 958>;False;1;655;1;0;0;50;0;0;2;786;23;2558;77;81;121;17;2665;11;20;2409;58;784;91;21;34;40;9;3169
KI_20;<3468, 5, 958>;False;1;700;1;0;0;50;0;0;2;149;28;543;28;17;854;17;1305;89;97;3319;32;794;86;73;27;53;67;3155
KI_21;<3468, 5, 958>;False;1;701;1;0;0;50;0;0;2;2568;46;1520;47;40;2508;53;1876;50;8;322;54;3863;63;44;35;24;72;3097
KI_22;<3468, 5, 958>;False;1;672;1;0;0;50;0;0;2;3257;7;803;88;23;3453;68;3563;91;52;3734;45;300;8;42;81;61;1;936
KI_23;<3468, 5, 958>;False;1;823;1;0;0;50;0;0;2;3780;67;1299;80;98;1958;40;2383;54;73;2388;58;2984;8;66;78;33;89;1672
KI_24;<3468, 5, 958>;False;1;835;1;0;0;50;0;0;2;102;40;2046;67;81;3393;57;1865;41;72;169;81;2867;56;58;5;91;3;2635
KI_25;<3468, 5, 958>;False;1;728;1;0;0;50;0;0;2;1280;12;837;53;48;2490;75;1971;18;96;2403;90;604;24;68;3;73;84;1060
KI_26;<3468, 5, 958>;False;1;688;1;0;0;50;0;0;2;1158;45;2728;75;92;1908;98;3075;87;62;2584;83;2399;41;73;31;59;64;390
KI_27;<3468, 5, 958>;False;1;682;1;0;0;50;0;0;2;2615;50;1719;34;46;105;11;2352;14;78;2694;13;2117;61;78;5;66;33;908
KI_28;<3468, 5, 958>;False;1;843;1;0;0;50;0;0;2;3157;76;141;43;41;308;86;1091;25;65;1803;86;263;24;18;23;13;78;3980
KI_29;<3468, 5, 958>;False;1;849;1;0;0;50;0;0;2;1594;12;1617;42;54;300;84;2545;39;32;3151;26;2555;8;84;88;61;35;3809
KI_30;<3468, 5, 958>;False;1;824;1;0;0;50;0;0;2;2430;22;402;60;42;1750;17;1926;6;35;2684;6;1070;36;66;27;32;94;1943
KI_31;<3468, 5, 958>;False;1;624;1;0;0;50;0;0;2;2281;65;309;50;9;1868;72;3687;12;61;3089;18;2647;11;34;39;66;24;1671
KI_32;<3468, 5, 958>;False;11;646;1;10;0;50;0;6;2;1433;99;2786;66;19;1627;44;3222;78;28;3948;11;1173;76;38;48;75;84;396
KI_33;<3468, 5, 958>;False;1;787;1;0;0;50;0;0;2;245;17;3002;66;5;2965;73;3624;59;51;2846;76;2197;84;89;43;11;25;3604
KI_34;<3468, 5, 958>;False;1;674;1;0;0;50;0;0;2;816;38;113;67;96;279;14;3571;20;32;1071;21;1780;48;20;77;4;58;1952
KI_35;<3468, 5, 958>;False;1;660;1;0;0;50;0;0;2;3640;79;317;58;40;3960;26;1715;91;56;3052;83;1099;88;7;20;94;73;958
KI_36;<3468, 5, 958>;False;1;879;1;0;0;50;0;0;2;2458;16;1199;29;6;1914;61;3028;24;62;397;89;3492;83;92;21;46;67;3627
KI_37;<3468, 5, 958>;False;51;902;1;50;0;50;0;6;2;372;42;1303;60;79;1868;45;953;86;14;1651;35;3200;35;12;35;84;28;634
KI_38;<3468, 5, 958>;False;1;654;1;0;0;50;0;0;2;434;12;162;89;24;2579;48;3654;98;23;2715;6;1696;78;93;70;63;20;1567
KI_39;<3468, 5, 958>;False;1;795;1;0;0;50;0;0;2;1952;96;782;92;82;166;65;3673;48;42;171;15;3921;48;96;73;97;97;374
KI_40;<3468, 5, 958>;False;1;633;1;0;0;50;0;0;2;2546;28;3394;23;18;326;93;1804;59;23;3563;14;1441;86;70;57;61;38;1057
KI_41;<3468, 5, 958>;False;1;669;1;0;0;50;0;0;2;1419;59;1220;51;54;1420;65;2799;30;67;3094;26;3225;17;47;30;87;20;1349
KI_42;<3468, 5, 958>;False;1;797;1;0;0;50;0;0;2;2092;71;2493;61;42;1600;55;1171;15;97;1347;92;1745;13;61;63;33;78;3341
KI_43;<3468, 5, 958>;False;1;747;1;0;0;50;0;0;2;3672;10;1250;46;67;978;58;3333;63;22;3711;95;1691;91;49;98;22;40;3956
KI_44;<3468, 5, 958>;False;1;744;1;0;0;50;0;0;2;302;39;2177;9;12;864;69;1562;95;55;377;82;2115;93;92;48;47;84;2359
KI_45;<3468, 5, 958>;False;1;696;1;0;0;50;0;0;2;3645;90;3231;79;85;435;11;3812;93;58;2655;47;2861;20;78;98;69;19;1638
KI_46;<3468, 5, 958>;False;1;757;1;0;0;50;0;0;2;1951;79;3529;10;75;3928;17;2234;25;72;3930;32;2126;32;83;81;22;86;2883
KI_47;<3468, 5, 958>;False;1;771;1;0;0;50;0;0;2;2676;8;3171;48;96;419;85;3901;42;23;1228;37;2089;55;95;83;20;39;3252
KI_48;<3468, 5, 958>;False;1;679;1;0;0;50;0;0;2;485;83;185;63;97;1658;93;2890;36;63;2679;94;239;32;5;16;43;94;288
KI_49;<3468, 5, 958>;False;1;806;1;0;0;50;0;0;2;3710;95;1008;31;55;2536;81;3089;73;21;3493;72;2505;88;9;58;82;47;3673
KI_50;<3468, 5, 958>;False;51;702;1;50;0;50;0;8;2;1420;61;2027;69;62;3790;32;2431;91;14;2443;38;287;62;60;63;8;35;1788
KI_51;<3468, 5, 958>;False;1;678;1;0;0;50;0;0;2;3303;58;2572;63;58;636;66;2047;33;93;542;13;3615;40;37;22;75;72;2046
KI_52;<3468, 5, 958>;False;1;666;1;0;0;50;0;0;2;3908;74;1579;94;80;3590;75;3558;62;47;2881;40;882;88;30;20;43;83;2694
KI_53;<3468, 5, 958>;False;1;711;1;0;0;50;0;0;2;2585;25;292;70;79;2833;76;284;33;35;268;44;3930;43;48;98;73;21;685
KI_54;<3468, 5, 958>;False;1;799;1;0;0;50;0;0;2;1073;98;1888;47;95;2568;7;2450;65;81;1639;19;2898;39;42;20;72;71;3453
KI_55;<3468, 5, 958>;False;1;678;1;0;0;50;0;0;2;1902;8;3699;88;40;3146;55;3488;97;16;2403;72;2619;26;43;16;95;54;3747
KI_56;<3468, 5, 958>;False;1;841;1;0;0;50;0;0;2;390;24;3293;44;74;3864;85;305;27;59;2333;34;2192;40;82;93;63;80;3272
KI_57;<3468, 5, 958>;False;11;691;1;10;0;50;0;7;2;3938;27;3220;70;18;820;38;1254;76;93;2841;43;2703;21;68;63;43;37;369
KI_58;<3468, 5, 958>;False;1;848;1;0;0;50;0;0;2;2013;55;3117;88;22;3849;83;2267;42;38;897;19;1307;45;51;20;68;24;3410
KI_59;<3468, 5, 958>;False;1;727;1;0;0;50;0;0;2;631;74;1891;75;12;1792;93;2317;93;72;2708;29;3119;82;75;21;77;5;801
KI_60;<3468, 5, 958>;False;1;689;1;0;0;50;0;0;2;3591;91;1083;90;95;2668;35;3838;67;52;3049;91;290;8;84;1;7;77;3688
KI_61;<3468, 5, 958>;False;1;676;1;0;0;50;0;0;2;696;70;1138;88;43;3103;63;3934;39;53;2027;18;1895;38;57;65;32;79;3859
KI_62;<3468, 5, 958>;False;1;636;1;0;0;50;0;0;2;1159;29;541;18;91;2864;74;205;10;25;1139;33;3160;74;33;6;9;60;3803
KI_63;<3468, 5, 958>;False;31;642;1;30;0;50;0;4;2;2084;18;257;56;74;1620;39;378;44;44;1075;15;2120;87;77;98;10;29;316
KI_64;<3468, 5, 958>;False;1;790;1;0;0;50;0;0;2;3689;80;1107;64;34;1061;66;605;28;53;3695;60;298;52;6;43;49;50;1363
KI_65;<3468, 5, 958>;False;1;673;1;0;0;50;0;0;2;3684;36;2392;95;15;3053;74;2612;84;38;2488;14;1712;34;24;2;74;41;2536
KI_66;<3468, 5, 958>;False;1;673;1;0;0;50;0;0;2;1232;19;1177;10;13;1105;79;1857;32;68;2213;64;298;51;55;6;53;72;3301
KI_67;<3468, 5, 958>;False;1;641;1;0;0;50;0;0;2;336;52;1315;37;81;319;95;1018;41;60;390;56;1646;36;5;46;94;28;732
KI_68;<3468, 5, 958>;False;1;682;1;0;0;50;0;0;2;874;45;3928;60;9;203;97;2086;10;54;1137;88;2678;89;37;25;26;3;3907
KI_69;<3468, 5, 958>;False;1;660;1;0;0;50;0;0;2;849;14;483;34;73;1073;9;1975;94;94;1163;72;2477;75;34;5;18;40;2800
KI_70;<3468, 5, 958>;False;1;867;1;0;0;50;0;0;2;3213;28;3663;14;86;298;87;2016;83;61;124;29;2354;74;13;60;31;51;3110
KI_71;<3468, 5, 958>;False;1;658;1;0;0;50;0;0;2;2106;74;969;9;69;3867;57;3480;89;75;2414;57;3728;27;11;85;19;24;2229
KI_72;<3468, 5, 958>;False;1;815;1;0;0;50;0;0;2;2798;46;2592;54;17;3103;90;147;90;45;727;33;2941;64;46;84;11;61;2923
KI_73;<3468, 5, 958>;False;1;803;1;0;0;50;0;0;2;1902;62;2442;87;78;3611;85;3188;49;9;3349;47;2510;76;83;70;67;50;3880
KI_74;<3468, 5, 958>;False;1;833;1;0;0;50;0;0;2;1993;75;3597;54;27;1025;5;3052;18;81;2871;80;2203;98;88;91;7;90;3660
KI_75;<3468, 5, 958>;False;1;657;1;0;0;50;0;0;2;3280;87;1523;79;12;3976;95;2466;73;21;2170;88;2051;83;88;48;24;96;3720
KI_76;<3468, 5, 958>;False;1;668;1;0;0;50;0;0;2;2807;54;1256;98;69;1669;87;1282;65;6;810;70;1232;77;63;30;5;95;3447
KI_77;<3468, 5, 958>;False;1;657;1;0;0;50;0;0;2;3700;91;2106;33;13;916;7;3985;10;60;836;38;1340;53;64;50;54;38;3043
KI_78;<3468, 5, 958>;False;1;691;1;0;0;50;0;0;2;1769;26;2307;50;59;2996;30;328;19;52;1633;7;764;7;8;40;43;20;2883
KI_79;<3468, 5, 958>;False;1;736;1;0;0;50;0;0;2;834;32;3948;58;24;1153;96;2083;11;68;3429;43;3344;29;52;66;72;85;3604
KI_80;<3468, 5, 958>;False;1;806;1;0;0;50;0;0;2;880;60;1576;96;99;3662;34;3761;70;19;3444;56;400;21;23;53;17;88;3030
KI_81;<3468, 5, 958>;False;1;802;1;0;0;50;0;0;2;3667;45;1542;73;62;3847;8;1767;90;51;2348;29;2170;37;83;31;41;16;2833
KI_82;<3468, 5, 958>;False;1;721;1;0;0;50;0;0;2;2282;67;2786;32;77;2906;90;569;44;78;3863;52;1160;53;67;18;41;49;2136
KI_83;<3468, 5, 958>;False;1;712;1;0;0;50;0;0;2;2672;71;2512;54;22;1623;13;1118;47;70;2538;40;3146;40;27;81;64;65;2714
KI_84;<3468, 5, 958>;False;1;690;1;0;0;50;0;0;2;1743;45;3847;33;19;2660;48;2999;50;14;3131;71;1231;77;67;17;34;44;1526
KI_85;<3468, 5, 958>;False;11;834;1;10;0;50;0;4;2;2899;27;1090;63;33;3798;46;3665;32;97;1265;78;3565;13;96;95;76;92;408
KI_86;<3468, 5, 958>;False;1;666;1;0;0;50;0;0;2;659;41;1802;44;80;1274;99;1189;95;32;1746;71;787;26;12;12;4;59;1482
KI_87;<3468, 5, 958>;False;1;814;1;0;0;50;0;0;2;3293;81;564;91;14;2683;54;2308;95;98;683;50;710;24;35;86;49;13;3248
KI_88;<3468, 5, 958>;False;1;653;1;0;0;50;0;0;2;3320;74;1407;32;15;2604;50;3425;13;62;2049;39;800;86;67;11;37;31;1908
KI_89;<3468, 5, 958>;False;1;649;1;0;0;50;0;0;2;2934;42;1201;39;89;519;52;1526;92;81;914;15;1418;47;17;11;15;80;1986
KI_90;<3468, 5, 958>;False;1;680;1;0;0;50;0;0;2;3092;66;285;46;43;3895;96;146;88;56;2693;27;875;47;31;45;82;6;3880
KI_91;<3468, 5, 958>;False;1;716;1;0;0;50;0;0;2;3767;60;1205;44;67;1820;92;1802;7;87;1996;52;199;9;97;97;47;68;1327
KI_92;<3468, 5, 958>;False;1;643;1;0;0;50;0;0;2;444;84;844;39;83;3550;51;1163;31;43;819;61;2377;32;33;67;83;79;1943
KI_93;<3468, 5, 958>;False;1;662;1;0;0;50;0;0;2;943;51;2987;44;92;1635;81;3496;14;24;679;89;3382;85;55;80;89;49;1626
KI_94;<3468, 5, 958>;False;1;807;1;0;0;50;0;0;2;3108;84;1106;99;39;2424;57;3055;62;59;2986;38;2237;54;35;54;40;25;1041
KI_95;<3468, 5, 958>;False;21;664;1;20;0;50;0;4;2;3724;70;1457;82;82;1659;51;3034;28;29;1602;20;2638;20;87;85;3;77;2133
KI_96;<3468, 5, 958>;False;1;672;1;0;0;50;0;0;2;293;37;2393;98;92;489;81;1561;57;28;1980;59;983;87;72;32;43;47;2957
KI_97;<3468, 5, 958>;False;1;640;1;0;0;50;0;0;2;2411;13;3356;95;50;3095;69;1073;6;53;1527;64;3287;74;80;39;51;75;1262
KI_98;<3468, 5, 958>;False;1;827;1;0;0;50;0;0;2;704;43;373;92;82;515;6;3072;85;36;2453;72;2775;96;32;16;49;82;3074
KI_99;<3468, 5, 958>;False;1;691;1;0;0;50;0;0;2;824;99;1495;58;40;2532;24;2006;77;79;2728;89;1456;26;35;18;58;83;996
KI_100;<3468, 5, 958>;False;1;709;1;0;0;50;0;0;2;2830;15;3234;32;64;874;21;1747;97;56;138;25;2618;9;45;33;18;57;3175
KI_101;<3468, 5, 958>;False;1;680;1;0;0;50;0;0;2;537;68;1678;72;21;2501;28;829;71;36;2565;47;3128;72;63;38;20;93;2270
KI_102;<3468, 5, 958>;False;1;688;1;0;0;50;0;0;2;2141;10;1486;93;10;1757;77;1444;34;29;2446;48;632;87;51;4;94;13;1811
KI_103;<3468, 5, 958>;False;51;784;1;50;0;50;0;8;2;735;45;1185;81;24;2039;40;1473;43;62;1243;32;3899;60;80;26;97;14;1440
KI_104;<3468, 5, 958>;False;1;686;1;0;0;50;0;0;2;2001;17;204;19;45;3552;22;3899;25;97;133;50;1043;30;39;23;88;59;1181
KI_105;<3468, 5, 958>;False;11;682;1;10;0;50;0;2;2;1044;94;1304;98;23;796;17;1747;53;46;2149;37;2676;50;21;42;6;42;837
KI_106;<3468, 5, 958>;False;1;684;1;0;0;50;0;0;2;3995;94;3094;29;66;3361;8;1906;79;85;1703;15;757;48;97;85;9;64;2927
KI_107;<3468, 5, 958>;False;1;789;1;0;0;50;0;0;2;3727;5;809;84;30;170;14;734;66;99;2332;10;1593;91;17;24;4;93;2286
KI_108;<3468, 5, 958>;False;1;654;1;0;0;50;0;0;2;2115;86;423;46;37;1677;62;3735;46;40;2590;51;1833;86;46;29;72;47;1575
KI_109;<3468, 5, 958>;False;1;682;1;0;0;50;0;0;2;1407;60;686;75;78;3606;32;2708;79;14;3181;39;334;36;82;31;28;83;3340
KI_110;<3468, 5, 958>;False;1;768;1;0;0;50;0;0;2;3429;34;3787;55;81;1696;60;3880;39;85;762;64;107;47;12;64;19;86;2231
KI_111;<3468, 5, 958>;False;1;641;1;0;0;50;0;0;2;2888;37;3131;12;54;273;40;1585;58;54;3207;43;333;66;89;66;58;24;2164
KI_112;<3468, 5, 958>;False;1;726;1;0;0;50;0;0;2;3059;73;2037;18;79;2891;45;464;77;61;2564;27;3687;29;97;98;82;70;2952
KI_113;<3468, 5, 958>;False;1;722;1;0;0;50;0;0;2;1701;72;425;92;89;485;6;1216;72;23;2353;90;3656;45;73;23;33;90;2139
KI_114;<3468, 5, 958>;False;1;809;1;0;0;50;0;0;2;1895;81;1233;61;94;171;63;3309;18;88;3880;95;2358;54;47;48;84;63;759
KI_115;<3468, 5, 958>;False;21;737;1;20;0;50;0;4;2;2809;69;3016;7;48;2351;33;1195;53;43;648;10;321;85;70;82;67;26;331
KI_116;<3468, 5, 958>;False;1;720;1;0;0;50;0;0;2;3825;48;3311;27;85;2212;47;876;39;77;3493;39;1838;32;10;64;91;43;2619
KI_117;<3468, 5, 958>;False;1;750;1;0;0;50;0;0;2;436;60;469;84;52;3275;91;931;43;16;2060;45;2475;42;65;46;50;45;2381
KI_118;<3468, 5, 958>;False;1;861;1;0;0;50;0;0;2;3380;68;2405;15;78;713;84;1647;5;33;3607;80;1938;25;62;27;54;53;3784
KI_119;<3468, 5, 958>;False;1;680;1;0;0;50;0;0;2;394;33;1430;8;14;314;85;3930;70;13;1949;11;3095;49;98;47;62;60;772
KI_120;<3468, 5, 958>;False;1;716;1;0;0;50;0;0;2;3304;65;1256;33;8;2460;44;3227;6;30;1589;65;167;27;13;42;53;78;765
KI_121;<3468, 5, 958>;False;1;820;1;0;0;50;0;0;2;352;78;799;65;11;1028;81;761;70;64;363;97;3184;5;66;72;86;77;1902
KI_122;<3468, 5, 958>;False;41;788;1;40;0;50;0;6;2;156;12;2868;92;84;3949;40;672;58;82;1211;98;3913;72;66;29;94;88;540
KI_123;<3468, 5, 958>;False;1;808;1;0;0;50;0;0;2;3593;87;1971;45;34;939;93;959;48;38;804;81;1023;60;80;44;9;25;569
KI_124;<3468, 5, 958>;False;1;948;1;0;0;50;0;0;2;1114;26;188;70;20;2837;59;3876;79;56;3897;57;2600;35;66;6;34;30;3713
KI_125;<3468, 5, 958>;False;31;565;1;30;0;50;0;8;2;3256;26;2230;13;69;2649;8;658;95;73;1992;25;2884;35;86;38;25;42;993
KI_126;<3468, 5, 958>;False;1;677;1;0;0;50;0;0;2;1300;66;3498;30;51;2711;20;3645;58;23;2971;26;3918;66;50;22;12;80;3828
KI_127;<3468, 5, 958>;False;31;638;1;30;0;50;0;6;2;2925;35;616;81;59;1986;26;751;5;53;2213;51;1842;42;29;98;20;0;490
KI_128;<3468, 5, 958>;False;1;832;1;0;0;50;0;0;2;3873;66;514;50;45;3550;63;1560;72;20;2573;58;1983;44;96;54;92;71;2217
KI_129;<3468, 5, 958>;False;1;687;1;0;0;50;0;0;2;505;13;326;93;66;3078;93;1854;62;79;2158;33;3407;5;99;54;51;84;2213
KI_130;<3468, 5, 958>;False;1;911;1;0;0;50;0;0;2;2664;49;3561;12;80;307;32;436;58;67;3289;12;3942;99;61;14;80;26;3557
KI_131;<3468, 5, 958>;False;31;561;1;30;0;50;0;6;2;874;50;2378;47;44;2323;16;646;33;77;3770;41;3527;63;90;7;93;52;537
KI_132;<3468, 5, 958>;False;11;646;1;10;0;50;0;2;2;3748;61;1360;45;25;1223;33;3293;45;26;3644;78;3493;15;37;76;20;36;375
KI_133;<3468, 5, 958>;False;1;696;1;0;0;50;0;0;2;3975;55;3200;71;26;1918;9;2836;65;95;357;8;339;53;87;52;27;29;1846
KI_134;<3468, 5, 958>;False;1;795;1;0;0;50;0;0;2;2153;57;1737;24;17;3597;82;2458;64;36;1112;8;2226;82;28;14;68;78;536
KI_135;<3468, 5, 958>;False;1;664;1;0;0;50;0;0;2;3884;39;1432;72;99;3506;36;1179;79;49;2170;39;2997;96;94;74;45;49;1634
KI_136;<3468, 5, 958>;False;1;672;1;0;0;50;0;0;2;3373;86;1064;23;54;405;46;287;48;31;1978;44;1330;9;25;83;62;96;1561
KI_137;<3468, 5, 958>;False;1;718;1;0;0;50;0;0;2;3242;19;2425;38;36;1896;20;2337;44;81;115;19;2106;50;42;40;26;21;1324
KI_138;<3468, 5, 958>;False;1;651;1;0;0;50;0;0;2;1180;59;1978;17;57;569;55;107;79;94;2961;44;2382;46;94;97;57;18;2645
