Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;deff-ConquerRadius;deff-AttackMinLife;deff-SupportRadius;deff-SupportMaxCap;deff-SupportMinCap;off-ConquerRadius;off-AttackMinLife;off-SupportRadius;off-SupportMaxCap;off-SupportMinCap;supp-ConquerRadius;supp-AttackMinLife;supp-SupportRadius;supp-SupportMaxCap;supp-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
EA191;<3468, 5, 958>;False;1;515;0;0;1;50;621;71;3063;68;9;2041;62;1394;65;68;3004;27;1969;32;94;36;99;95;1768
EA189;<3468, 5, 958>;False;1;497;0;0;1;50;683;96;2232;95;28;3099;11;147;86;59;2370;78;1684;10;45;55;48;24;3207
EA181;<3468, 5, 958>;False;1;542;0;0;1;50;2014;33;2847;50;58;2553;35;1627;73;15;712;51;3768;47;83;8;83;3;811
EA163;<3468, 5, 958>;False;1;558;0;0;1;50;3188;65;2021;56;51;3785;67;1110;97;78;2775;88;1472;88;30;11;35;22;2751
EA153;<3468, 5, 958>;False;1;557;0;0;1;50;2037;80;3014;51;56;1404;55;1235;71;83;2966;67;708;22;29;76;73;64;3083
EA142;<3468, 5, 958>;False;1;625;0;0;1;50;2263;81;3130;78;73;3677;58;2860;86;63;358;18;3009;63;75;22;91;55;1293
EA141;<3468, 5, 958>;False;1;528;0;0;1;50;3223;28;2357;42;56;1652;84;621;94;67;3676;55;1570;18;82;46;67;46;3287
EA126;<3468, 5, 958>;False;1;516;0;0;1;50;2197;82;2203;49;33;2663;28;2360;95;20;370;34;3502;29;12;85;75;42;1778
EA110;<3468, 5, 958>;False;1;533;0;0;1;50;2595;45;1551;20;30;1553;99;765;49;75;409;68;813;39;60;11;14;14;3976
EA77;<3468, 5, 958>;False;1;628;0;0;1;50;1577;74;3777;5;47;2508;8;2252;90;35;3145;45;641;22;15;39;46;33;3099
EA69;<3468, 5, 958>;False;1;623;0;0;1;50;1438;12;3817;63;77;754;9;2447;24;97;1940;29;794;35;85;63;69;63;3092
EA71;<3468, 5, 958>;False;1;581;0;0;1;50;3375;19;1410;72;69;1505;92;539;17;49;3256;63;537;55;56;84;90;6;2627
EA73;<3468, 5, 958>;False;1;494;0;0;1;50;808;85;204;44;18;446;98;2720;99;23;3459;28;494;51;20;45;83;25;123
EA53;<3468, 5, 958>;False;1;669;0;0;1;50;800;25;3634;88;97;900;72;532;42;89;1855;17;3128;90;65;98;86;19;3668
EA44;<3468, 5, 958>;False;1;644;0;0;1;50;3010;66;844;7;56;545;74;673;9;64;3525;80;2435;40;85;69;80;95;3878
EA43;<3468, 5, 958>;False;11;617;20;-10;1;50;2504;75;2656;30;76;1677;51;1287;54;32;580;37;3493;33;10;7;13;51;996
EA39;<3468, 5, 958>;False;1;552;0;0;1;50;2096;67;187;55;74;3456;46;824;41;87;1118;55;3289;82;16;37;81;84;2126
EA38;<3468, 5, 958>;False;1;526;0;0;1;50;154;17;2463;49;97;3112;71;3666;65;90;2904;26;2853;95;42;74;13;51;1060
EA33;<3468, 5, 958>;False;1;528;0;0;1;50;675;48;2767;11;87;3466;62;1274;31;16;2957;7;2236;90;32;37;19;63;1707
EA7;<3468, 5, 958>;False;1;592;0;0;1;50;1371;68;1221;22;98;531;83;3629;52;45;2262;44;2604;29;18;81;99;60;1264
EA15;<3468, 5, 958>;False;1;505;0;0;1;50;2506;14;915;35;93;511;37;3289;65;31;1276;52;1143;89;12;58;91;43;400
EA194;<3468, 5, 958>;False;1;636;0;0;1;50;1222;21;2014;9;59;2182;61;1334;29;7;1021;93;1770;17;25;27;57;60;3925
EA195;<3468, 5, 958>;False;1;539;0;0;1;50;3681;52;3279;21;6;3320;68;3957;55;73;246;33;2233;42;93;7;48;25;2891
EA167;<3468, 5, 958>;False;1;544;0;0;1;50;3268;75;1421;24;98;419;57;2164;85;27;2495;33;1061;23;63;11;6;79;666
EA150;<3468, 5, 958>;False;1;654;0;0;1;50;2129;96;1828;6;54;3031;79;1381;82;24;3251;62;533;97;28;92;62;89;2744
