Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;supportActions;attackActions;dominanceLevel;deff1-ConquerRadius;deff1-AttackMinLife;deff1-SupportRadius;deff1-SupportMaxCap;deff1-SupportMinCap;off1-ConquerRadius;off1-AttackMinLife;off1-SupportRadius;off1-SupportMaxCap;off1-SupportMinCap;supp1-ConquerRadius;supp1-AttackMinLife;supp1-SupportRadius;supp1-SupportMaxCap;supp1-SupportMinCap;SupportTownRatio1;DeffTownRatio1;AtkTownRatio1;CategorisationRadius1;deff2-ConquerRadius;deff2-AttackMinLife;deff2-SupportRadius;deff2-SupportMaxCap;deff2-SupportMinCap;off2-ConquerRadius;off2-AttackMinLife;off2-SupportRadius;off2-SupportMaxCap;off2-SupportMinCap;supp2-ConquerRadius;supp2-AttackMinLife;supp2-SupportRadius;supp2-SupportMaxCap;supp2-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
KI_0;<3468, 5, 958>;True;232.82051282051282;803;112.82051282051282;20;100;11.25;0;39;1;1905;76;3768;50;30;1334;5;3927;91;43;855;65;890;10;45;94;32;74;620;1816;99;2868;53;89;3274;28;1755;61;74;1704;94;3675;85;55;30;27;78;2436
KI_1;<3468, 5, 958>;False;0;481;0;0;0;50;0;0;2;1026;29;1411;55;51;2034;38;1029;28;54;1439;24;2678;57;22;50;80;73;1394;2393;16;2337;6;59;3820;85;2731;27;32;3176;98;3588;70;71;67;51;18;977
KI_2;<3468, 5, 958>;False;0;553;0;0;0;50;0;0;2;3786;29;2381;10;13;277;36;3183;10;25;716;8;3299;28;28;46;0;25;718;1333;74;3727;39;66;2823;41;1915;60;71;2521;19;3717;82;24;90;96;95;455
KI_3;<3468, 5, 958>;False;7;492;7;0;0;50;0;7;2;1869;53;1833;55;25;605;6;265;42;56;669;35;896;40;80;11;54;3;1267;1719;22;191;15;9;426;94;1624;64;92;2192;67;1640;67;49;64;66;86;411
KI_4;<3468, 5, 958>;False;0;581;0;0;0;50;0;0;2;2270;16;2698;38;16;3179;14;1272;17;99;3859;59;2367;84;15;64;40;45;1967;3864;12;2964;5;56;3640;80;2936;50;99;837;41;1016;83;58;44;14;66;993
KI_5;<3468, 5, 958>;False;0;559;0;0;0;50;0;0;2;1162;6;3049;8;95;1708;60;3186;86;83;1219;46;3456;85;92;82;49;53;531;1392;66;608;66;60;754;84;1702;54;30;2131;79;404;98;55;68;63;19;1124
KI_6;<3468, 5, 958>;False;0;603;0;0;0;50;0;0;2;1853;98;3965;74;97;522;53;2384;83;22;613;39;3082;75;74;30;5;28;832;1291;9;2987;99;54;3306;45;142;77;17;2804;22;3771;20;64;4;45;21;515
KI_7;<3468, 5, 958>;False;0;584;0;0;0;50;0;0;2;552;75;3091;50;22;602;87;755;56;97;3980;18;1892;75;84;87;57;44;2229;2240;68;1858;99;78;326;84;3759;36;49;2223;25;2275;67;93;21;30;86;3764
KI_8;<3468, 5, 958>;False;0;569;0;0;0;50;0;0;2;636;76;2668;58;6;922;7;2520;43;87;1049;87;845;39;98;36;83;43;1995;3968;30;3518;5;65;2823;99;1280;68;76;2148;70;108;23;56;20;67;35;3425
KI_9;<3468, 5, 958>;False;0;497;0;0;0;50;0;0;2;2066;52;3366;12;61;3675;98;1253;10;20;3990;17;1670;25;92;42;60;39;3310;1955;27;2610;25;59;1606;89;513;64;5;3251;79;3940;25;82;64;11;58;110
KI_10;<3468, 5, 958>;False;0;528;0;0;0;50;0;0;2;2091;63;805;22;77;876;44;2498;6;78;3889;83;238;87;31;8;84;1;1762;3346;23;3219;36;53;2406;79;1168;91;78;2964;52;2682;83;39;3;65;3;2137
KI_11;<3468, 5, 958>;False;-18;510;2;-20;0;50;0;2;2;2992;72;3808;11;90;1137;21;413;20;97;2403;17;1733;12;59;36;30;5;1807;2354;60;2649;6;98;3893;96;3892;30;42;2621;86;3419;81;43;27;51;92;3495
KI_12;<3468, 5, 958>;False;0;490;0;0;0;50;0;0;2;3083;61;3017;55;23;1441;16;2341;88;48;3830;88;2665;26;53;91;76;59;2502;1157;30;1506;16;16;328;51;3348;78;40;1838;9;1305;56;67;78;44;35;3561
KI_13;<3468, 5, 958>;False;0;563;0;0;0;50;0;0;2;2719;43;1497;30;58;2832;42;1935;66;60;2338;60;2498;41;72;17;11;66;1633;2133;83;3268;25;45;3789;89;2771;77;28;1586;80;351;91;79;6;63;74;3234
KI_14;<3468, 5, 958>;False;0;494;0;0;0;50;0;0;2;3182;79;398;9;39;1899;97;2102;19;89;2375;39;2426;45;37;56;93;52;2669;2464;10;2724;40;81;3805;15;2600;36;61;3806;98;2456;5;76;91;91;32;2039
KI_15;<3468, 5, 958>;False;0;567;0;0;0;50;0;0;2;3192;16;1923;82;89;1223;25;2689;16;45;2953;74;1930;22;48;19;96;96;1232;3430;29;1925;74;6;1707;30;3403;20;71;902;50;3358;76;23;2;19;75;1312
KI_16;<3468, 5, 958>;False;0;503;0;0;0;50;0;0;2;719;31;3262;5;9;1064;69;165;48;23;2589;35;464;10;50;54;27;55;124;269;78;1281;93;8;2986;40;2767;80;32;622;55;1373;18;50;0;4;87;2892
KI_17;<3468, 5, 958>;False;0;488;0;0;0;50;0;0;2;3090;94;3068;84;9;399;93;2445;26;79;3288;15;2736;50;48;83;74;17;2109;433;22;903;13;46;3742;10;2997;25;20;3852;48;1519;23;8;37;30;11;3424
