Name;Coord;Winner;Fitness;GameTime;Score;deffScore;suppScore;townLifeDeviation;supportActions;attackActions;dominanceLevel;deff1-ConquerRadius;deff1-AttackMinLife;deff1-SupportRadius;deff1-SupportMaxCap;deff1-SupportMinCap;off1-ConquerRadius;off1-AttackMinLife;off1-SupportRadius;off1-SupportMaxCap;off1-SupportMinCap;supp1-ConquerRadius;supp1-AttackMinLife;supp1-SupportRadius;supp1-SupportMaxCap;supp1-SupportMinCap;SupportTownRatio1;DeffTownRatio1;AtkTownRatio1;CategorisationRadius1;deff2-ConquerRadius;deff2-AttackMinLife;deff2-SupportRadius;deff2-SupportMaxCap;deff2-SupportMinCap;off2-ConquerRadius;off2-AttackMinLife;off2-SupportRadius;off2-SupportMaxCap;off2-SupportMinCap;supp2-ConquerRadius;supp2-AttackMinLife;supp2-SupportRadius;supp2-SupportMaxCap;supp2-SupportMinCap;SupportTownRatio;DeffTownRatio;AtkTownRatio;CategorisationRadius
KI_0;<3468, 5, 958>;True;319.21140939597313;702;112.5;100;106.71140939597315;14.8;0;16;1;3007;36;2803;37;20;2334;6;838;25;54;3687;5;3228;48;5;69;1;47;379;1100;87;3970;92;52;1912;58;1048;85;90;2517;69;290;80;6;31;56;90;1716
KI_1;<3468, 5, 958>;True;325.84834123222748;570;114;100;111.84834123222748;8.34;0;10;1;3771;95;1625;37;42;3866;33;3112;87;6;3806;75;2038;69;98;11;8;37;196;2374;35;3058;82;56;2605;21;765;21;9;459;46;3052;15;63;77;14;38;322
KI_2;<3468, 5, 958>;False;0;459;0;0;0;50;0;0;2;1399;91;1709;97;63;658;47;2060;19;94;615;57;2347;61;39;66;50;35;3788;522;20;706;43;32;377;28;1142;90;72;2334;19;2584;47;48;24;66;74;1321
KI_3;<3468, 5, 958>;False;0;520;0;0;0;50;0;0;2;424;28;2995;84;56;3180;65;1370;65;27;3554;17;219;28;17;74;54;61;2510;215;90;2813;31;81;689;16;2750;37;79;944;57;2853;64;43;58;34;22;3990
KI_4;<3468, 5, 958>;True;209.72732661529341;882;111.42857142857143;-10;108.29875518672199;11.95;0;35;2;1545;52;1139;71;12;3682;5;1911;89;72;1551;89;3800;76;81;35;4;69;582;495;23;2405;68;34;2098;53;2625;73;43;3386;93;1146;48;13;36;81;96;3979
KI_5;<3468, 5, 958>;False;-4;549;6;-10;0;50;0;6;2;3744;27;2907;63;24;1921;43;3684;18;95;171;72;2403;12;61;55;50;84;264;3603;11;3598;54;75;3515;25;2301;9;85;2464;84;2481;51;30;78;23;14;2290
KI_6;<3468, 5, 958>;False;7;511;7;0;0;50;0;7;2;2012;90;2789;38;10;766;36;815;36;53;2064;87;707;10;54;87;0;71;3920;1473;7;3654;38;50;1720;20;3662;88;18;1143;55;282;41;80;62;7;19;3789
KI_7;<3468, 5, 958>;False;3;557;3;0;0;50;0;3;2;3915;23;2768;14;79;2854;52;2817;7;49;3769;55;1481;94;9;22;4;8;2102;940;19;1867;52;39;2559;73;1271;20;15;2897;34;2344;72;49;35;18;98;3102
KI_8;<3468, 5, 958>;False;2;612;2;0;0;50;0;2;2;3491;94;1074;7;81;3547;40;2629;28;78;3588;30;1914;55;31;90;42;65;846;1037;32;351;80;41;3846;54;3435;60;10;648;72;1653;78;73;2;61;54;2325
KI_9;<3468, 5, 958>;False;2;561;2;0;0;50;0;2;2;2304;77;232;87;21;1565;46;1503;24;39;480;16;2603;58;7;76;91;7;876;1245;90;2397;11;73;2856;42;3430;78;46;3573;57;2878;53;87;38;91;86;3734
