Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime;InitialConquerRadius;MaxConquerRadius;RadiusExpansionStep;AttackMinLife
EA0;<437, 5, 200>;False;-10;87;0;8250;2655;1072;-52;58
EA1;<437, 5, 200>;False;-10;86;0;8250;3285;1865;-757;92
EA2;<437, 5, 200>;False;-5;29;15;8250;1262;2695;-25;44
EA3;<437, 5, 200>;False;-8;48;20;8250;988;3976;584;44
EA4;<437, 5, 200>;False;-10;85;0;8250;527;1266;-283;34
EA5;<437, 5, 200>;False;-10;84;0;8250;1290;1721;-330;83
EA6;<437, 5, 200>;False;-5;28;15;8250;2486;3513;270;46
EA7;<437, 5, 200>;False;-10;85;0;8250;1708;2667;-578;95
EA8;<437, 5, 200>;False;-10;85;0;8250;3545;3318;456;59
EA9;<437, 5, 200>;False;-10;63;20;8250;1407;2484;609;36
EA10;<437, 5, 200>;False;-10;86;0;8250;2924;849;-179;14
EA11;<437, 5, 200>;False;-10;86;0;8250;1614;1358;-326;44
EA12;<437, 5, 200>;False;-10;86;0;8250;2907;1778;90;53
EA13;<437, 5, 200>;False;-10;87;0;8250;2777;698;36;27
EA14;<437, 5, 200>;False;-10;86;0;8250;3824;2588;718;94
EA15;<437, 5, 200>;False;-10;87;0;8250;3156;2401;7;65
EA16;<437, 5, 200>;False;-6;28;15;7700;2152;2167;54;43
EA17;<437, 5, 200>;False;-5;27;20;8250;912;1219;-667;52
EA18;<437, 5, 200>;False;-23;54;130;8250;1730;3947;141;15
EA19;<437, 5, 200>;False;-12;85;0;7700;205;860;-95;32
EA20;<437, 5, 200>;False;-10;86;0;8250;2356;1093;347;98
EA21;<437, 5, 200>;False;-10;87;0;8250;496;2558;-372;74
EA22;<437, 5, 200>;False;-2;3;15;8250;1281;2228;196;71
EA23;<437, 5, 200>;False;-16;19;110;8250;2682;3763;84;17
EA24;<437, 5, 200>;False;-10;87;0;8250;2780;3021;116;86
EA25;<437, 5, 200>;False;-5;28;15;8250;3175;3586;-471;46
EA26;<437, 5, 200>;False;-10;86;0;8250;1452;327;-656;71
EA27;<437, 5, 200>;False;-10;87;0;8250;2303;1697;-460;77
EA28;<437, 5, 200>;False;-5;23;20;8250;869;2673;-220;55
EA29;<437, 5, 200>;False;-10;86;0;8250;3503;2138;60;90
EA30;<437, 5, 200>;False;-2;8;15;8250;1123;3237;-641;67
EA31;<437, 5, 200>;False;-10;87;0;8250;2689;1607;537;50
EA32;<437, 5, 200>;False;-8;10;55;8250;1791;1872;-120;31
EA33;<437, 5, 200>;False;-10;87;0;8250;2525;2372;1;70
EA34;<437, 5, 200>;False;-41;128;245;9900;291;1209;216;9
EA35;<437, 5, 200>;False;-10;86;0;8250;2205;2315;-537;89
EA36;<437, 5, 200>;True;2297;182;2150;35372;1399;3465;-1;5
EA37;<437, 5, 200>;False;-10;87;0;8250;2348;192;-382;20
EA38;<437, 5, 200>;False;-10;87;0;8250;923;2740;153;98
EA39;<437, 5, 200>;False;-10;87;0;8250;3197;2218;430;96
EA40;<437, 5, 200>;False;-16;74;55;8800;966;2485;-375;15
EA41;<437, 5, 200>;False;-10;86;0;8250;3937;3745;-579;63
EA42;<437, 5, 200>;False;-4;17;15;8250;720;2744;-33;60
EA43;<437, 5, 200>;False;-10;87;0;8250;3561;2028;-231;70
EA44;<437, 5, 200>;False;-10;85;0;8250;2594;905;-274;81
EA45;<437, 5, 200>;False;-10;86;0;8250;3558;3351;643;43
EA46;<437, 5, 200>;False;-10;86;0;8250;852;1117;-694;94
EA47;<437, 5, 200>;False;-10;85;0;8250;3948;2114;624;53
EA48;<437, 5, 200>;False;-10;87;0;8250;2111;2731;513;93
EA49;<437, 5, 200>;False;-10;86;0;8250;1277;311;654;42
EA50;<437, 5, 200>;False;-10;85;0;8250;2926;3552;549;90
EA51;<437, 5, 200>;False;-2;1;15;8250;2220;2725;-357;73
EA52;<437, 5, 200>;False;-3;14;15;8250;1352;3615;-249;60
EA53;<437, 5, 200>;False;-8;44;20;8250;933;3874;-683;41
