Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime;InitialConquerRadius;MaxConquerRadius;RadiusExpansionStep;AttackMinLife
EA0;<3468, 5, 958>;False;-8;84;0;8250;2766;2706;679;41
EA1;<3468, 5, 958>;False;-8;84;0;8250;3205;1965;-547;82
EA2;<3468, 5, 958>;False;-7;83;0;7700;3353;201;-100;93
EA3;<3468, 5, 958>;False;-7;81;0;7700;1748;693;412;41
EA4;<3468, 5, 958>;False;82;12;90;8250;1815;1899;-198;17
EA5;<3468, 5, 958>;False;-7;84;0;7700;1727;3029;175;87
EA6;<3468, 5, 958>;False;8;20;15;7700;1714;3166;-13;48
EA7;<3468, 5, 958>;False;-7;83;0;7700;1542;490;-185;51
EA8;<3468, 5, 958>;False;-7;77;0;7700;1252;3667;-689;77
EA9;<3468, 5, 958>;False;-7;84;0;7700;3594;3112;-420;71
EA10;<3468, 5, 958>;False;-7;82;0;7700;1604;974;-254;10
EA11;<3468, 5, 958>;False;-7;83;0;7700;2889;1595;-42;40
EA12;<3468, 5, 958>;True;395;58;405;10400;635;3267;797;9
EA13;<3468, 5, 958>;False;-9;86;0;9350;638;3766;-340;93
EA14;<3468, 5, 958>;False;-7;84;0;7700;328;317;751;5
EA15;<3468, 5, 958>;False;-7;84;0;7700;3944;2849;-90;74
EA16;<3468, 5, 958>;False;7;22;15;8250;2600;3789;209;53
EA17;<3468, 5, 958>;False;-7;84;0;7700;422;3978;-21;68
EA18;<3468, 5, 958>;False;42;0;50;8250;970;2731;396;23
EA19;<3468, 5, 958>;False;299;25;310;11000;1698;2268;-554;7
EA20;<3468, 5, 958>;False;-7;83;0;7700;1316;579;-295;57
EA21;<3468, 5, 958>;False;-9;85;0;9350;497;1433;-234;38
EA22;<3468, 5, 958>;False;-7;84;0;7700;2545;634;327;84
EA23;<3468, 5, 958>;False;-7;83;0;7700;3230;989;345;69
EA24;<3468, 5, 958>;False;-8;84;0;8250;3142;2468;-140;78
EA25;<3468, 5, 958>;False;57;20;65;8800;3034;3869;-342;18
EA26;<3468, 5, 958>;False;7;17;15;8250;1366;1390;511;49
EA27;<3468, 5, 958>;False;-7;84;0;7700;849;468;36;52
EA28;<3468, 5, 958>;False;-7;84;0;7700;3616;3763;316;86
EA29;<3468, 5, 958>;False;22;1;30;8250;1616;3557;211;33
EA30;<3468, 5, 958>;False;-8;84;0;8250;2407;1174;609;94
EA31;<3468, 5, 958>;False;-8;84;0;8250;1230;2622;583;99
EA32;<3468, 5, 958>;False;-8;85;0;8250;3839;362;-139;81
EA33;<3468, 5, 958>;False;-8;85;0;8250;658;1599;-356;37
EA34;<3468, 5, 958>;False;-8;86;0;8250;3360;776;-428;78
EA35;<3468, 5, 958>;False;13;32;20;7700;2137;3574;-539;55
EA36;<3468, 5, 958>;False;-9;87;0;9350;2495;888;702;87
EA37;<3468, 5, 958>;False;11;0;20;9900;2168;3426;-334;89
EA38;<3468, 5, 958>;False;-9;86;0;9350;3902;543;-516;50
EA39;<3468, 5, 958>;False;11;4;20;9900;434;1429;564;69
EA40;<3468, 5, 958>;False;138;23;150;12100;1917;3315;7;16
EA41;<3468, 5, 958>;False;11;54;20;9900;2756;2908;-226;54
EA42;<3468, 5, 958>;False;-8;85;0;8250;2679;1474;-757;25
EA43;<3468, 5, 958>;False;7;9;15;8250;2649;3459;442;71
EA44;<3468, 5, 958>;False;-7;83;0;7700;537;1457;-270;13
EA45;<3468, 5, 958>;False;-8;83;0;8250;2861;106;-57;15
EA46;<3468, 5, 958>;False;-8;85;0;8250;3124;2126;524;7
EA47;<3468, 5, 958>;False;7;23;15;8250;906;3224;-385;52
EA48;<3468, 5, 958>;False;7;11;15;8250;1350;2263;-313;71
EA49;<3468, 5, 958>;False;-7;83;0;7700;1606;250;562;89
EA50;<3468, 5, 958>;False;-8;85;0;8250;3386;1744;-478;21
EA51;<3468, 5, 958>;False;-7;84;0;7700;3321;398;-417;15
EA52;<3468, 5, 958>;False;8;6;15;7700;1414;1959;-217;75
EA53;<3468, 5, 958>;False;7;17;15;8250;136;3084;751;49
EA54;<3468, 5, 958>;False;37;12;45;8800;1502;1655;-242;20
EA55;<3468, 5, 958>;False;-7;83;0;7700;3580;1386;-304;86
EA56;<3468, 5, 958>;False;112;18;120;8800;461;2173;631;14
EA57;<3468, 5, 958>;False;-7;83;0;7700;2270;406;-297;11
EA58;<3468, 5, 958>;False;-7;83;0;7700;2037;1806;-409;32
EA59;<3468, 5, 958>;False;-7;83;0;7700;3219;1218;-353;71
EA60;<3468, 5, 958>;False;8;2;15;7700;1191;2884;307;74
EA61;<3468, 5, 958>;False;7;9;15;8250;1801;2136;-23;57
EA62;<3468, 5, 958>;False;-7;83;0;7700;2381;3377;-259;98
EA63;<3468, 5, 958>;False;7;14;15;8250;2788;2790;-798;53
EA64;<3468, 5, 958>;False;-7;83;0;7700;533;1431;-664;32
EA65;<3468, 5, 958>;False;-9;86;0;9350;809;649;91;29
EA66;<3468, 5, 958>;False;-7;84;0;7700;732;1235;-415;59
EA67;<3468, 5, 958>;False;131;7;140;9900;2129;2764;263;11
EA68;<3468, 5, 958>;False;58;18;65;7700;564;2635;610;21
EA69;<3468, 5, 958>;False;-7;83;0;7700;2585;2362;-122;59
EA70;<3468, 5, 958>;False;-7;69;0;7700;279;1423;22;73
EA71;<3468, 5, 958>;False;-9;88;0;9350;2987;1375;-186;81
EA72;<3468, 5, 958>;False;8;17;15;7700;1799;2954;-520;48
EA73;<3468, 5, 958>;False;83;30;90;7700;885;3942;27;18
EA74;<3468, 5, 958>;False;67;14;75;8250;711;1792;108;18
EA75;<3468, 5, 958>;False;-8;85;0;8250;1196;3664;-744;90
EA76;<3468, 5, 958>;False;110;2;120;10450;785;1134;589;8
EA77;<3468, 5, 958>;False;7;8;15;8250;3251;3310;601;55
EA78;<3468, 5, 958>;False;-7;83;0;7700;3677;2107;-403;85
EA79;<3468, 5, 958>;False;-7;85;0;7700;2545;3380;29;84
EA80;<3468, 5, 958>;False;-7;83;0;7700;3636;1792;-583;79
EA81;<3468, 5, 958>;False;-8;85;0;8250;2081;903;594;17
EA82;<3468, 5, 958>;False;-7;83;0;7700;618;2997;-766;24
EA83;<3468, 5, 958>;False;-7;84;0;7700;147;1187;-338;17
EA84;<3468, 5, 958>;False;7;14;15;8250;1286;2487;64;50
EA85;<3468, 5, 958>;False;-8;86;0;8250;1889;1446;798;63
EA86;<3468, 5, 958>;False;-7;84;0;7700;3439;2612;65;70
EA87;<3468, 5, 958>;False;-7;83;0;7700;2973;2731;18;35
EA88;<3468, 5, 958>;False;-7;83;0;7700;3671;2957;-419;85
EA89;<3468, 5, 958>;False;-7;85;0;7700;3133;1062;-170;97
EA90;<3468, 5, 958>;False;141;34;150;9350;1635;2964;649;11
EA91;<3468, 5, 958>;False;-7;85;0;7700;3226;2721;30;65
EA92;<3468, 5, 958>;False;-7;85;0;7700;979;553;61;6
EA93;<3468, 5, 958>;False;-7;83;0;7700;1272;268;-198;58
EA94;<3468, 5, 958>;False;-7;81;0;7700;1796;2142;691;87
EA95;<3468, 5, 958>;False;-7;79;0;7700;2693;821;-165;48
EA96;<3468, 5, 958>;False;48;9;55;7700;1001;2852;-340;31
EA97;<3468, 5, 958>;False;-7;84;0;7700;257;1823;-234;10
EA98;<3468, 5, 958>;False;8;3;15;7700;951;2325;-670;73
EA99;<3468, 5, 958>;False;22;21;30;8250;1812;3741;497;22
EA100;<3468, 5, 958>;False;-7;80;0;7700;589;3620;-63;63
EA101;<3468, 5, 958>;False;-7;83;0;7700;631;2037;-776;87
EA102;<3468, 5, 958>;False;22;11;30;8250;1489;2739;-141;29
EA103;<3468, 5, 958>;False;37;15;45;8250;1327;2167;-313;24
EA104;<3468, 5, 958>;False;126;6;135;9350;1416;1846;534;14
EA105;<3468, 5, 958>;False;-7;83;0;7700;1600;1033;156;79
EA106;<3468, 5, 958>;False;-7;83;0;7700;3071;1975;474;74
EA107;<3468, 5, 958>;False;-7;83;0;7700;3851;2643;-604;52
EA108;<3468, 5, 958>;False;-7;73;0;7700;2879;3017;381;77
