Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime;InitialConquerRadius;MaxConquerRadius;RadiusExpansionStep;AttackMinLife
EA0;<437, 5, 200>;False;-10;86;0;8250;2181;632;25;99
EA1;<437, 5, 200>;False;-4;13;20;7700;2225;3129;-210;66
EA2;<437, 5, 200>;False;-10;87;0;8250;1758;2381;-656;93
EA3;<437, 5, 200>;False;-9;46;30;8250;914;3741;-6;30
EA4;<437, 5, 200>;False;-10;87;0;8250;1747;1115;296;37
EA5;<437, 5, 200>;False;-10;87;0;8250;724;1259;564;98
EA6;<437, 5, 200>;False;-10;87;0;8250;2319;2085;-246;58
EA7;<437, 5, 200>;False;-10;85;0;8250;1389;1025;482;31
EA8;<437, 5, 200>;False;-10;85;0;8250;385;3897;-769;33
EA9;<437, 5, 200>;False;-10;87;0;8250;2876;2543;310;96
EA10;<437, 5, 200>;False;-10;84;0;8250;1068;3676;-247;83
EA11;<437, 5, 200>;False;-32;10;350;11550;1180;2555;599;12
EA12;<437, 5, 200>;False;-10;86;0;8250;2188;3007;554;88
EA13;<437, 5, 200>;False;-10;86;0;8250;346;539;-219;27
EA14;<437, 5, 200>;False;-34;14;300;9900;1205;2176;-117;8
EA15;<437, 5, 200>;False;-13;56;55;8250;1777;3244;-293;22
EA16;<437, 5, 200>;False;-10;20;60;8250;3156;3261;570;27
EA17;<437, 5, 200>;False;-10;85;0;8250;3663;859;85;80
EA18;<437, 5, 200>;False;-10;28;55;8250;2308;2898;-651;28
EA19;<437, 5, 200>;False;-10;84;0;8250;3811;205;330;94
EA20;<437, 5, 200>;False;-10;86;0;8250;2573;1157;-757;60
EA21;<437, 5, 200>;False;-10;86;0;8250;1623;3715;-454;96
EA22;<437, 5, 200>;False;-8;19;50;8250;2479;3155;-771;22
EA23;<437, 5, 200>;False;-8;48;20;8250;877;2668;59;46
EA24;<437, 5, 200>;False;-10;86;0;8250;2438;715;-733;49
EA25;<437, 5, 200>;False;-10;84;0;8250;3115;2595;-542;37
EA26;<437, 5, 200>;False;-10;86;0;8250;848;297;-308;37
EA27;<437, 5, 200>;False;-10;86;0;8250;174;570;-345;29
EA28;<437, 5, 200>;False;-10;86;0;8250;3322;2002;-158;20
EA29;<437, 5, 200>;False;-10;85;0;8250;3138;2956;475;86
EA30;<437, 5, 200>;False;-11;24;65;8800;2417;3593;200;17
EA31;<437, 5, 200>;False;-10;86;0;8250;787;1559;154;91
EA32;<437, 5, 200>;False;-9;78;0;8250;803;2641;229;80
EA33;<437, 5, 200>;False;-10;86;0;8250;3940;1035;-534;99
EA34;<437, 5, 200>;False;-10;87;0;8250;527;2776;-172;37
EA35;<437, 5, 200>;False;-6;33;20;8250;2514;3496;706;51
EA36;<437, 5, 200>;False;-3;10;15;8250;2044;3071;-235;72
EA37;<437, 5, 200>;False;-10;87;0;8250;1102;1575;260;87
