Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime;InitialConquerRadius;MaxConquerRadius;RadiusExpansionStep;AttackMinLife
EA0;<3468, 5, 958>;False;-11;83;0;7700;1199;778;-374;79
EA1;<3468, 5, 958>;False;-2;8;15;8250;1770;1782;649;59
EA2;<3468, 5, 958>;False;-11;82;0;7700;3251;711;681;82
EA3;<3468, 5, 958>;False;-10;85;0;8250;2174;2665;712;98
EA4;<3468, 5, 958>;False;-11;83;0;7700;3022;496;296;11
EA5;<3468, 5, 958>;False;-12;84;0;7700;3765;1291;-202;50
EA6;<3468, 5, 958>;False;-10;84;0;8250;126;177;575;62
EA7;<3468, 5, 958>;False;-12;84;0;7700;2580;627;280;60
EA8;<3468, 5, 958>;False;-11;83;0;7700;2093;1605;587;58
EA9;<3468, 5, 958>;False;-12;55;45;8250;819;1056;258;13
EA10;<3468, 5, 958>;False;-12;84;0;7700;129;1796;-403;77
EA11;<3468, 5, 958>;False;-12;84;0;7700;3017;108;-641;41
EA12;<3468, 5, 958>;False;-12;84;0;7700;195;2252;-382;45
EA13;<3468, 5, 958>;False;-12;84;0;7700;103;1866;174;97
EA14;<3468, 5, 958>;False;-11;82;0;7700;3219;3156;439;43
EA15;<3468, 5, 958>;False;-12;84;0;7700;2330;1260;704;68
EA16;<3468, 5, 958>;False;-11;83;0;7700;1977;1450;-317;18
EA17;<3468, 5, 958>;False;-11;83;0;7700;3182;1583;481;52
EA18;<3468, 5, 958>;False;-3;11;15;8250;1816;2414;-703;52
EA19;<3468, 5, 958>;True;443;39;410;6834;323;2464;376;5
EA20;<3468, 5, 958>;False;-11;83;0;7700;3690;1955;134;12
EA21;<3468, 5, 958>;False;-12;84;0;7700;3507;1052;126;10
EA22;<3468, 5, 958>;False;-5;28;15;8250;3129;3575;424;43
EA23;<3468, 5, 958>;False;-10;85;0;8250;1936;1087;31;72
EA24;<3468, 5, 958>;False;-5;25;15;7700;2029;2343;-342;43
EA25;<3468, 5, 958>;False;-3;11;15;7700;2829;3819;149;66
EA26;<3468, 5, 958>;False;-6;27;15;7700;3027;3053;785;43
EA27;<3468, 5, 958>;False;-10;85;0;8250;1628;507;670;23
EA28;<3468, 5, 958>;False;-11;83;0;7700;289;3101;-20;14
EA29;<3468, 5, 958>;False;-6;25;30;8800;2882;3438;478;27
EA30;<3468, 5, 958>;False;-10;85;0;8250;3093;1052;-210;90
EA31;<3468, 5, 958>;False;-12;84;0;7700;2499;1661;-747;22
EA32;<3468, 5, 958>;False;-10;85;0;8250;387;1469;-784;50
EA33;<3468, 5, 958>;False;-11;83;0;7700;1346;1400;-313;96
EA34;<3468, 5, 958>;False;-13;9;85;7700;3542;3766;-267;16
EA35;<3468, 5, 958>;False;-12;84;0;7700;1087;768;265;68
EA36;<3468, 5, 958>;False;-11;83;0;7700;3891;2328;-237;71
EA37;<3468, 5, 958>;False;-12;84;0;7700;3085;1751;794;65
EA38;<3468, 5, 958>;False;-11;83;0;7700;3126;292;214;48
EA39;<3468, 5, 958>;False;-4;7;30;8800;2379;2806;-754;38
EA40;<3468, 5, 958>;False;-14;0;100;7700;2922;3235;-267;8
EA41;<3468, 5, 958>;False;-2;4;15;7700;468;1804;598;72
EA42;<3468, 5, 958>;False;-2;2;15;7700;1912;2130;-459;78
EA43;<3468, 5, 958>;False;-3;15;15;8250;2137;2763;774;61
EA44;<3468, 5, 958>;False;-31;13;235;8800;2355;2817;683;9
EA45;<3468, 5, 958>;False;-11;83;0;7700;286;1395;-126;66
EA46;<3468, 5, 958>;False;-5;25;15;8250;1482;1548;329;30
EA47;<3468, 5, 958>;False;-8;36;35;8250;2826;3412;-189;22
EA48;<3468, 5, 958>;False;-8;49;20;8250;3653;3935;-172;47
EA49;<3468, 5, 958>;False;-10;85;0;8250;3367;2538;124;55
EA50;<3468, 5, 958>;False;-11;83;0;7700;2820;2585;-422;28
EA51;<3468, 5, 958>;False;-7;0;60;8250;919;971;-614;13
EA52;<3468, 5, 958>;False;-10;85;0;8250;355;249;603;89
EA53;<3468, 5, 958>;False;-6;40;15;8250;3090;3941;-317;42
EA54;<3468, 5, 958>;False;-2;3;15;8250;1591;2764;298;73
EA55;<3468, 5, 958>;False;-10;85;0;8250;2952;2454;-775;63
EA56;<3468, 5, 958>;False;-11;83;0;7700;639;196;579;56
EA57;<3468, 5, 958>;False;-11;82;0;7700;1232;2184;413;95
EA58;<3468, 5, 958>;False;-11;82;0;7700;564;1629;-246;43
EA59;<3468, 5, 958>;False;-10;85;0;8250;473;790;-96;17
EA60;<3468, 5, 958>;False;-3;1;20;7700;1095;2489;-473;67
EA61;<3468, 5, 958>;False;-12;84;0;7700;3892;2030;-125;93
EA62;<3468, 5, 958>;False;-12;84;0;7700;2755;103;-693;19
EA63;<3468, 5, 958>;False;-10;84;0;8250;3760;3434;485;13
EA64;<3468, 5, 958>;False;-12;85;0;7700;2523;2522;-630;22
EA65;<3468, 5, 958>;False;-3;11;15;8250;1509;2351;484;55
EA66;<3468, 5, 958>;False;-5;27;15;8250;1192;3703;429;40
EA67;<3468, 5, 958>;False;-6;20;35;8250;2589;3578;-327;24
EA68;<3468, 5, 958>;False;-16;49;85;8250;1047;2265;-52;16
EA69;<3468, 5, 958>;False;-12;84;0;7700;1656;1484;228;66
EA70;<3468, 5, 958>;False;-4;2;30;7700;2450;3748;572;32
EA71;<3468, 5, 958>;False;-7;18;40;8250;1923;2453;-777;30
EA72;<3468, 5, 958>;False;-12;84;0;7700;2395;1085;462;50
EA73;<3468, 5, 958>;False;-2;6;15;8250;375;1094;431;69
EA74;<3468, 5, 958>;False;-11;83;0;7700;3258;2726;-191;9
EA75;<3468, 5, 958>;False;-11;83;0;7700;2932;285;-340;79
EA76;<3468, 5, 958>;False;-6;28;15;7700;2850;3459;658;41
EA77;<3468, 5, 958>;False;-4;8;30;8250;1609;2771;311;30
EA78;<3468, 5, 958>;False;-11;83;0;7700;3915;1905;131;45
EA79;<3468, 5, 958>;False;-12;84;0;7700;2904;2102;-699;69
EA80;<3468, 5, 958>;False;-12;84;0;7700;3647;2066;457;41
EA81;<3468, 5, 958>;False;-11;83;0;7700;501;3302;-585;98
EA82;<3468, 5, 958>;False;-2;1;20;8250;3163;3180;-306;73
EA83;<3468, 5, 958>;False;-10;85;0;8250;3898;2418;667;57
EA84;<3468, 5, 958>;False;-12;84;0;7700;2625;369;134;62
EA85;<3468, 5, 958>;False;-12;84;0;7700;2798;2561;603;90
EA86;<3468, 5, 958>;False;-11;82;0;7700;2276;2137;-6;62
EA87;<3468, 5, 958>;False;-11;82;0;7700;2723;1441;734;33
EA88;<3468, 5, 958>;False;-5;22;30;9350;2479;2847;-578;26
EA89;<3468, 5, 958>;False;-12;84;0;7700;1120;3619;298;88
EA90;<3468, 5, 958>;False;-4;11;20;7700;2933;3702;156;61
EA91;<3468, 5, 958>;False;-6;29;15;7700;1567;3878;-333;41
EA92;<3468, 5, 958>;False;-11;83;0;7700;2229;205;444;66
EA93;<3468, 5, 958>;False;-10;85;0;8250;3724;1883;775;31
EA94;<3468, 5, 958>;False;-5;26;20;8250;2546;3540;523;60
EA95;<3468, 5, 958>;False;-4;20;15;8250;1366;2156;-296;46
EA96;<3468, 5, 958>;False;-11;83;0;7700;3340;147;-616;30
EA97;<3468, 5, 958>;False;-9;69;0;7700;1877;2810;-330;75
EA98;<3468, 5, 958>;False;-2;3;15;7700;1592;2830;607;77
EA99;<3468, 5, 958>;False;-3;10;15;7700;230;1190;44;60
EA0;<3468, 5, 958>;False;-11;41;50;8250;427;3041;60;24
EA1;<3468, 5, 958>;False;-10;76;0;7700;1992;1558;689;45
EA2;<3468, 5, 958>;False;-10;85;0;8250;2875;620;-540;33
EA3;<3468, 5, 958>;False;-3;15;15;8800;3174;3374;366;45
EA4;<3468, 5, 958>;False;-12;84;0;7700;639;1841;-515;32
EA5;<3468, 5, 958>;False;-3;12;15;8250;1350;1753;-1107;64
EA6;<3468, 5, 958>;False;-3;8;15;7700;756;1195;219;60
EA7;<3468, 5, 958>;False;-2;8;15;8250;2480;3608;216;55
EA8;<3468, 5, 958>;False;-6;54;0;8250;1897;2473;-226;69
EA9;<3468, 5, 958>;False;-2;6;15;8250;2443;4000;142;72
EA10;<3468, 5, 958>;False;-6;9;35;7700;2882;3438;478;27
EA11;<3468, 5, 958>;False;-5;22;20;8250;2551;3153;990;60
EA12;<3468, 5, 958>;False;-4;19;15;8800;3011;3663;773;29
EA13;<3468, 5, 958>;False;-9;63;0;7700;2550;2721;-144;72
EA14;<3468, 5, 958>;False;-11;77;0;7700;1285;1006;687;62
EA15;<3468, 5, 958>;False;-11;78;0;7700;901;1312;-389;104
EA16;<3468, 5, 958>;False;-2;4;15;8800;3011;3663;773;29
EA17;<3468, 5, 958>;False;-11;77;0;7700;2381;2155;37;61
EA18;<3468, 5, 958>;False;-5;28;15;8250;1968;2975;225;32
EA19;<3468, 5, 958>;False;-10;83;0;8250;3024;586;-205;92
EA20;<3468, 5, 958>;False;-10;85;0;8250;3454;100;792;112
EA21;<3468, 5, 958>;False;-11;83;0;7700;3167;2594;-411;47
EA22;<3468, 5, 958>;False;-11;83;0;7700;1668;320;-167;49
EA23;<3468, 5, 958>;False;-3;7;20;8250;2251;3389;338;69
EA24;<3468, 5, 958>;False;-3;10;15;8250;2443;4000;142;72
EA25;<3468, 5, 958>;False;-10;81;0;8250;3059;2820;13;59
EA26;<3468, 5, 958>;False;-10;85;0;8250;2463;2855;605;104
EA27;<3468, 5, 958>;False;-4;24;15;8800;263;2278;7;33
EA28;<3468, 5, 958>;False;-12;84;0;7700;1668;320;-167;49
EA29;<3468, 5, 958>;False;-11;81;0;7700;3593;2748;582;28
EA30;<3468, 5, 958>;False;-10;80;0;8250;195;2252;-382;45
EA31;<3468, 5, 958>;False;-11;77;0;7700;3085;1751;794;65
EA32;<3468, 5, 958>;False;-10;85;0;8250;1943;1615;291;32
EA33;<3468, 5, 958>;False;-2;5;15;8250;1350;1753;-1107;64
EA34;<3468, 5, 958>;False;-11;82;0;7700;1628;507;670;23
EA35;<3468, 5, 958>;False;-9;68;0;7700;2273;2979;277;74
EA36;<3468, 5, 958>;False;-2;0;20;8250;2443;4000;142;72
EA37;<3468, 5, 958>;False;-10;76;0;7700;3290;100;-283;92
EA38;<3468, 5, 958>;False;-3;9;20;8250;2251;3389;338;69
EA39;<3468, 5, 958>;False;-4;7;30;8250;2375;3338;-253;28
EA40;<3468, 5, 958>;False;-11;78;0;7700;275;1544;-61;66
EA41;<3468, 5, 958>;False;-12;84;0;7700;3972;1831;88;45
EA42;<3468, 5, 958>;False;-8;64;0;8250;1819;3709;-475;68
EA43;<3468, 5, 958>;False;-10;85;0;8250;2463;2855;605;104
EA44;<3468, 5, 958>;False;-9;77;0;8250;3024;586;-205;92
EA45;<3468, 5, 958>;False;-11;82;0;7700;2465;2251;-307;30
EA46;<3468, 5, 958>;False;-3;2;20;7700;2471;2818;847;71
EA47;<3468, 5, 958>;False;-6;52;0;8250;1897;2473;-226;69
EA48;<3468, 5, 958>;False;-10;76;0;7700;1366;1608;234;80
EA49;<3468, 5, 958>;False;-10;84;0;8250;3059;2820;13;59
EA50;<3468, 5, 958>;False;-4;19;15;7700;1516;2317;485;55
EA51;<3468, 5, 958>;False;-2;8;15;8250;1195;2380;65;57
EA52;<3468, 5, 958>;False;-5;10;35;8800;263;2278;7;33
EA53;<3468, 5, 958>;False;-3;13;15;8250;882;2382;-412;59
EA54;<3468, 5, 958>;False;-3;16;15;8250;2480;3608;216;55
EA55;<3468, 5, 958>;False;-11;80;0;7700;2294;2098;264;64
EA56;<3468, 5, 958>;False;-3;15;15;8250;1195;2380;65;57
EA57;<3468, 5, 958>;False;-2;3;20;8250;2251;3389;338;69
EA58;<3468, 5, 958>;False;-2;0;20;8250;2443;4000;142;72
EA59;<3468, 5, 958>;False;-3;11;15;8250;1350;1753;-1107;64
EA60;<3468, 5, 958>;False;-2;7;15;8250;2251;3389;338;69
EA61;<3468, 5, 958>;False;-9;79;0;8250;3024;586;-205;92
EA62;<3468, 5, 958>;False;-2;1;20;8250;2443;4000;142;72
EA63;<3468, 5, 958>;False;-8;24;35;7700;2693;3328;-168;24
EA64;<3468, 5, 958>;False;-11;78;0;7700;2294;2098;264;64
EA65;<3468, 5, 958>;False;-11;83;0;7700;1285;1006;687;62
EA66;<3468, 5, 958>;False;-3;15;15;8250;882;2382;-412;59
EA67;<3468, 5, 958>;False;-11;81;0;7700;2771;2609;-371;35
EA68;<3468, 5, 958>;False;-9;66;0;7700;2273;2979;277;74
EA69;<3468, 5, 958>;False;-10;45;35;8250;427;3041;60;24
EA70;<3468, 5, 958>;False;-12;84;0;7700;114;250;463;61
EA71;<3468, 5, 958>;False;-11;80;0;7700;2465;2251;-307;30
EA72;<3468, 5, 958>;False;-2;7;15;8250;100;2110;800;66
EA73;<3468, 5, 958>;False;-11;79;0;7700;2465;2251;-307;30
EA74;<3468, 5, 958>;False;-11;80;0;7700;3634;3574;1777;40
EA75;<3468, 5, 958>;False;-11;83;0;7700;100;525;-247;69
EA76;<3468, 5, 958>;False;-34;117;125;7700;1213;2147;-890;5
EA77;<3468, 5, 958>;False;-10;33;50;8250;427;3041;60;24
EA78;<3468, 5, 958>;False;-11;82;0;7700;2755;103;-693;19
EA79;<3468, 5, 958>;False;-11;81;0;7700;3167;2594;-411;47
EA80;<3468, 5, 958>;False;-12;84;0;7700;2952;2454;-775;63
EA81;<3468, 5, 958>;False;-5;28;15;8250;2618;3496;-74;42
EA82;<3468, 5, 958>;False;-11;79;0;7700;3593;2748;582;28
EA83;<3468, 5, 958>;False;-5;31;15;8250;1968;2975;225;32
EA84;<3468, 5, 958>;False;-11;77;0;7700;114;250;463;61
