Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime;InitialConquerRadius;MaxConquerRadius;RadiusExpansionStep;AttackMinLife
EA0;<437, 5, 200>;False;-8;85;0;8250;526;2422;-452;7
EA1;<437, 5, 200>;False;-8;84;0;8250;3460;352;-651;8
EA2;<437, 5, 200>;False;-8;86;0;8250;1201;787;-400;88
EA3;<437, 5, 200>;False;280;62;290;10450;1270;1703;600;11
EA4;<437, 5, 200>;False;-8;84;0;8250;1060;186;603;96
EA5;<437, 5, 200>;True;382;79;390;8075;1088;2398;51;6
EA6;<437, 5, 200>;True;356;85;365;9584;3132;3634;-649;10
EA7;<437, 5, 200>;False;13;65;20;7700;1933;2398;237;40
EA8;<437, 5, 200>;False;22;17;30;8250;2833;3998;90;24
EA9;<437, 5, 200>;False;-8;85;0;8250;3672;3650;-644;31
EA10;<437, 5, 200>;False;-8;85;0;8250;586;2381;577;86
EA11;<437, 5, 200>;False;12;21;20;8250;1172;2286;-792;61
EA12;<437, 5, 200>;False;-8;86;0;8250;3724;2567;242;72
EA13;<437, 5, 200>;False;-8;85;0;8250;3530;291;-733;54
EA14;<437, 5, 200>;False;-8;85;0;8250;347;887;-409;95
EA15;<437, 5, 200>;False;-8;86;0;8250;3883;231;106;70
EA16;<437, 5, 200>;False;7;26;15;8250;2158;3528;-520;33
EA17;<437, 5, 200>;False;-8;86;0;8250;3432;2729;-558;36
EA18;<437, 5, 200>;False;-8;85;0;8250;3706;2430;546;68
EA19;<437, 5, 200>;False;-8;87;0;8250;2940;2715;385;25
EA20;<437, 5, 200>;False;-8;86;0;8250;3613;2032;-592;84
EA21;<437, 5, 200>;False;13;13;20;7700;3757;3770;-15;66
EA22;<437, 5, 200>;False;-8;85;0;8250;3833;243;-581;72
EA23;<437, 5, 200>;False;-8;86;0;8250;2696;653;-305;13
EA24;<437, 5, 200>;False;-8;85;0;8250;171;754;-267;42
EA25;<437, 5, 200>;False;42;9;50;8250;1602;2847;391;29
EA26;<437, 5, 200>;False;-8;84;0;8250;1975;1330;452;31
EA27;<437, 5, 200>;False;13;52;20;7700;908;1557;466;42
EA28;<437, 5, 200>;False;-8;86;0;8250;1898;209;-713;50
EA29;<437, 5, 200>;False;-8;85;0;8250;3624;2943;408;60
EA30;<437, 5, 200>;False;12;-1;20;8250;1613;2142;-251;82
EA31;<437, 5, 200>;False;-8;85;0;8250;2194;1805;271;79
EA32;<437, 5, 200>;False;12;29;20;8250;1223;3027;240;58
EA33;<437, 5, 200>;False;47;26;55;8250;1413;1444;530;23
EA34;<437, 5, 200>;False;-8;57;0;8250;3027;3513;-230;64
EA35;<437, 5, 200>;False;7;15;15;8250;718;915;-90;60
EA36;<437, 5, 200>;False;7;8;15;8250;1055;3003;-396;65
EA37;<437, 5, 200>;False;-8;85;0;8250;441;3356;-501;32
EA38;<437, 5, 200>;False;-8;86;0;8250;1708;3012;-788;86
EA39;<437, 5, 200>;True;382;74;390;8250;1508;3716;348;9
EA40;<437, 5, 200>;False;8;23;15;7700;2617;3999;790;48
EA41;<437, 5, 200>;False;-8;85;0;8250;2922;1002;-711;16
EA42;<437, 5, 200>;True;294;40;300;6756;866;3446;358;7
EA43;<437, 5, 200>;False;-8;87;0;8250;1553;618;-115;22
EA44;<437, 5, 200>;False;12;0;20;8250;410;3063;115;80
EA45;<437, 5, 200>;False;-8;85;0;8250;819;225;312;48
EA46;<437, 5, 200>;False;-8;86;0;8250;2297;1507;-564;61
EA47;<437, 5, 200>;False;-8;84;0;8250;1414;3882;536;83
EA48;<437, 5, 200>;False;-8;86;0;8250;713;1320;762;20
EA49;<437, 5, 200>;True;308;68;315;7150;938;3951;575;6
EA50;<437, 5, 200>;False;-8;87;0;8250;2785;632;-95;26
EA51;<437, 5, 200>;False;-8;86;0;8250;533;718;666;31
EA52;<437, 5, 200>;False;7;16;15;8250;1342;3332;451;62
EA53;<437, 5, 200>;False;12;11;20;8250;1483;3709;574;63
EA54;<437, 5, 200>;False;12;67;20;8250;1288;2210;629;39
EA55;<437, 5, 200>;False;47;30;55;8800;425;1917;446;26
EA56;<437, 5, 200>;True;415;78;425;10134;189;3611;594;10
EA57;<437, 5, 200>;False;-8;86;0;8250;709;1151;742;13
EA58;<437, 5, 200>;False;-8;86;0;8250;3610;2279;-634;9
EA59;<437, 5, 200>;False;-8;86;0;8250;2404;1916;-254;43
EA60;<437, 5, 200>;False;12;36;20;8250;1833;3486;-366;53
EA61;<437, 5, 200>;False;22;48;30;8250;832;1012;-51;27
EA62;<437, 5, 200>;False;-8;86;0;8250;1870;1517;566;68
EA63;<437, 5, 200>;False;47;18;55;8250;468;2038;688;26
EA64;<437, 5, 200>;False;-8;85;0;8250;1493;935;-470;25
EA65;<437, 5, 200>;False;281;54;290;9900;1220;3441;-603;9
EA66;<437, 5, 200>;False;-8;84;0;8250;3472;2791;321;80
EA67;<437, 5, 200>;False;-8;87;0;8250;3304;3264;-765;84
EA68;<437, 5, 200>;False;42;23;50;8250;878;2004;669;25
EA69;<437, 5, 200>;False;-7;80;0;7700;859;1156;-738;79
EA70;<437, 5, 200>;False;-8;79;0;8250;1784;2594;169;80
EA71;<437, 5, 200>;False;-8;87;0;8250;1721;1232;795;43
EA72;<437, 5, 200>;False;7;33;15;8250;2551;3536;304;40
EA73;<437, 5, 200>;False;-8;85;0;8250;1111;611;-613;60
